"col0","col1","col2"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.Include<Category,Media>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","Microsoft.AspNetCore.Mvc.ViewComponent.View<CategoryWidgetComponentVm>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.Object.GetType"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.String.IsNullOrWhiteSpace"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.String.Split"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.String.Equals"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.AspNetCore.Mvc.ViewEngines.IViewEngine.GetView"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.AspNetCore.Http.IRequestCookieCollection.TryGetValue"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions.GetService<IConfiguration>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.Reflection.Assembly.GetName"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.Linq.Enumerable.Last<String>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions.GetRequiredService<ICompositeViewEngine>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedPropertiesFromDb","System.Linq.Queryable.Where<LocalizedContentProperty>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedPropertiesFromDb","SimplCommerce.Infrastructure.Data.IRepositoryWithTypedId<SimplCommerce.Infrastructure.Localization.LocalizedContentProperty,System.Int64>.Query"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedPropertiesFromDb","System.Linq.Enumerable.ToList<LocalizedContentProperty>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","System.TimeSpan.FromSeconds"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","Microsoft.Extensions.Caching.Memory.MemoryCacheEntryExtensions.SetAbsoluteExpiration"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","Microsoft.Extensions.Caching.Memory.CacheExtensions.TryGetValue<List<LocalizedContentProperty>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","Microsoft.Extensions.Caching.Memory.CacheExtensions.Set<List<LocalizedContentProperty>>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","System.Linq.Enumerable.FirstOrDefault<LocalizedContentProperty>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryWidgetViewComponent.Invoke","SimplCommerce.Module.StorageAmazonS3.S3StorageService.GetMediaUrl","System.String.Concat"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.ProductWidgetViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.ProductWidgetViewComponent.Invoke","Newtonsoft.Json.JsonConvert.DeserializeObject<ProductWidgetSetting>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.ProductWidgetViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.ProductWidgetViewComponent.Invoke","System.Linq.Queryable.Where<Product>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.ProductWidgetViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.ProductWidgetViewComponent.Invoke","Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions.Include<Product,Media>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.ProductWidgetViewComponent.Invoke","SimplCommerce.Module.Catalog.Areas.Catalog.Components.ProductWidgetViewComponent.Invoke","System.Linq.Queryable.OrderByDescending<Product,DateTimeOffset>"
